region,year,mig_total,mig_youth,pop_total,pop_youth,총_순이동률,청년_순이동률,bdg_관광,bdg_농업,bdg_일자리,bdg_복지,bdg_정주여건,bdg_기타,ep_관광,ep_농업,ep_일자리,ep_복지,ep_정주여건,ep_기타,treated,재정자립도,고령인구,고령화율,사업체수,log사업체수,행정유형,행정유형2,ep_A_청년정착,ep_B_생산유통,ep_C_어메니티,유형
경기연천군,2021,-280.0,-338.0,42721.0,9213.0,-0.6554153694904146,-3.668728969933789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.59,11814.0,27.653847054141988,1585.0,7.368339686311381,군,군,0.0,0.0,0.0,대형도시형
경기연천군,2022,-188.0,-310.0,42062.0,8787.0,-0.4469592506300223,-3.527939000796632,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.48,12319.0,29.28771813037897,1624.0,7.392647520721623,군,군,0.0,0.0,0.0,대형도시형
경기연천군,2023,-139.0,-179.0,41584.0,8474.0,-0.3342631781454405,-2.112343639367477,0.0,0.0,62.2,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,1,15.05,12882.0,30.97826086956521,1676.0,7.424165281042028,군,군,0.0,0.0,0.0,대형도시형
경기연천군,2024,-341.0,-334.0,40866.0,8090.0,-0.8344344932217491,-4.128553770086526,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,16.0594,0.0,0.0,0.0,1,15.26,13432.0,32.86839915822444,1661.0,7.415175109613295,군,군,0.0,0.0,0.0,대형도시형
경기포천시,2019,-1808.0,-1281.0,148379.0,32931.0,-1.2185012703954063,-3.889951717226929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.81,27615.0,18.6111242156909,10677.0,9.275847174178304,시,시,0.0,0.0,0.0,대형도시형
경기포천시,2020,-432.0,-544.0,147274.0,32417.0,-0.2933307983758165,-1.678131844402628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.15,29314.0,19.90439588793677,9751.0,9.18512512283512,시,시,0.0,0.0,0.0,대형도시형
경기포천시,2021,2915.0,622.0,148939.0,32828.0,1.957177099349398,1.8947240160838308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.19,31080.0,20.867603515533204,11206.0,9.32420462812523,시,시,0.0,0.0,0.0,대형도시형
경기포천시,2022,-1122.0,-993.0,146701.0,31510.0,-0.764820962365628,-3.151380514122501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.62,32863.0,22.401346957416788,11315.0,9.333884558067638,시,시,0.0,0.0,0.0,대형도시형
경기포천시,2023,-2407.0,-1535.0,143323.0,29841.0,-1.6794234002916488,-5.143929492979458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.63,34863.0,24.32477690252088,11075.0,9.312445594913337,시,시,0.0,0.0,0.0,대형도시형
경기포천시,2024,-1003.0,-980.0,141463.0,28633.0,-0.7090193195393848,-3.422624244752558,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1,22.77,37242.0,26.326318542657795,11021.0,9.307557822691544,시,시,0.0,0.0,0.0,대형도시형
경남거창군,2019,159.0,-327.0,62179.0,11432.0,0.2557133437334148,-2.860391882435269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.07,16603.0,26.701941169848343,2083.0,7.641564441260972,군,군,0.0,0.0,0.0,소형농촌형
경남거창군,2020,-211.0,-649.0,61502.0,10959.0,-0.3430782738772723,-5.922073181859658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.88,17026.0,27.683652564144257,1804.0,7.497761700622568,군,군,0.0,0.0,0.0,소형농촌형
경남거창군,2021,190.0,-501.0,61073.0,10422.0,0.3111031061189069,-4.807138744962579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.77,17545.0,28.72791577292748,1944.0,7.572502985020384,군,군,0.0,0.0,0.0,소형농촌형
경남거창군,2022,-27.0,-489.0,60387.0,9940.0,-0.0447116101147598,-4.919517102615694,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.12,18035.0,29.86569957109974,2001.0,7.601402334583733,군,군,0.0,0.0,0.0,소형농촌형
경남거창군,2023,205.0,-326.0,60047.0,9540.0,0.3413992372641431,-3.417190775681342,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.51,18536.0,30.86915249721052,2035.0,7.618251097876695,군,군,0.0,0.0,0.0,소형농촌형
경남거창군,2024,88.0,-382.0,59588.0,9197.0,0.1476807410888098,-4.153528324453626,0.0,0.0,0.0,0.0,42.3748,0.0,0.0,0.0,0.0,0.0,28.0032,0.0,1,7.94,19182.0,32.19104517688125,1956.0,7.578656850594762,군,군,0.0,0.0,0.0,소형농촌형
경남고성군,2019,-499.0,-607.0,52276.0,8499.0,-0.9545489325885684,-7.142016707847983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.34,15577.0,29.797612671206675,1939.0,7.569927655242652,군,군,0.0,0.0,0.0,소형농촌형
경남고성군,2020,-419.0,-589.0,51361.0,7756.0,-0.8157940850061332,-7.594120680763281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.31,16095.0,31.33700667821888,1711.0,7.444833273892193,군,군,0.0,0.0,0.0,소형농촌형
경남고성군,2021,-166.0,-514.0,50478.0,7096.0,-0.3288561353460913,-7.243517474633597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.21,16543.0,32.77269305439994,1670.0,7.4205789054108,군,군,0.0,0.0,0.0,소형농촌형
경남고성군,2022,689.0,-112.0,50448.0,6781.0,1.3657627656200444,-1.651673794425601,22.5,0.0,80.0,1.5,0.0,0.0,0.182,0.0,80.0,0.0,0.0,0.0,1,8.42,17031.0,33.75951474785918,1869.0,7.533158807455563,군,군,0.0,0.0,0.0,소형농촌형
경남고성군,2023,-303.0,-470.0,49468.0,6218.0,-0.6125171828252608,-7.5587005467996145,123.818,0.0,0.0,1.5,0.2083,0.0,1.7452,0.0,0.0,1.3787,0.2083,0.0,1,9.36,17491.0,35.3582113689658,1900.0,7.549609165154532,군,군,0.0,0.0,0.0,소형농촌형
경남고성군,2024,-782.0,-561.0,48005.0,5605.0,-1.628996979481304,-10.008920606601247,58.5155,0.0,0.0,0.0,80.27,0.0,37.3569,0.0,0.0,0.0,15.9986,0.0,1,10.3,17847.0,37.17737735652536,1807.0,7.499423290592229,군,군,0.0,0.0,0.0,소형농촌형
경남남해군,2019,215.0,-312.0,43622.0,6030.0,0.492870569895924,-5.17412935323383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.11,15987.0,36.64893860895878,1783.0,7.48605261786314,군,군,0.0,0.0,0.0,소형농촌형
경남남해군,2020,-66.0,-415.0,42958.0,5781.0,-0.1536384375436472,-7.178688808164678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.77,16258.0,37.84626844825178,1465.0,7.289610521451167,군,군,0.0,0.0,0.0,소형농촌형
경남남해군,2021,25.0,-432.0,42266.0,5335.0,0.0591491979368759,-8.09746954076851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.07,16448.0,38.91544030662944,1616.0,7.38770923908104,군,군,0.0,0.0,0.0,소형농촌형
